['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [2, '2', 'Wakefield-241 St'], [4, '2', 'Wakefield-241 St']] 2021-10-25 16:18:41.583638
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [2, '2', 'Wakefield-241 St'], [4, '2', 'Wakefield-241 St']] 2021-10-25 16:18:48.258393
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '4', 'Woodlawn'], [3, '2', 'Wakefield-241 St']] 2021-10-25 16:18:54.008895
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '4', 'Woodlawn'], [3, '2', 'Wakefield-241 St']] 2021-10-25 16:19:14.364774
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [1, '4', 'Woodlawn'], [3, '2', 'Wakefield-241 St']] 2021-10-25 16:19:22.432459
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [4, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:22:07.820086
['Franklin Avenue-Medgar Evers College', [1, '2', 'Wakefield-241 St'], [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av']] 2021-10-25 16:22:16.927758
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [7, '3', 'Harlem-148 St']] 2021-10-25 16:22:25.297019
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [7, '3', 'Harlem-148 St']] 2021-10-25 16:22:31.227093
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [7, '3', 'Harlem-148 St']] 2021-10-25 16:22:39.316717
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [7, '3', 'Harlem-148 St']] 2021-10-25 16:22:45.331787
['Franklin Avenue-Medgar Evers College', [2, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [6, '3', 'Harlem-148 St']] 2021-10-25 16:22:51.641693
['Franklin Avenue-Medgar Evers College', [1, '4', 'Woodlawn'], [3, '5', 'Eastchester-Dyre Av'], [6, '3', 'Harlem-148 St']] 2021-10-25 16:22:57.842484
